,0
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,100000.0
28,100000.0
29,100000.0
30,100000.0
31,100000.0
32,100000.0
33,100000.0
34,100000.0
35,100000.0
36,100000.0
37,100000.0
38,100000.0
39,100000.0
40,100000.0
41,100000.0
42,100000.0
43,100000.0
44,100000.0
45,100000.0
46,100000.0
47,100000.0
48,100000.0
49,100000.0
50,100000.0
51,100000.0
52,100000.0
53,100000.0
54,100000.0
55,100000.0
56,100000.0
57,100000.0
58,100000.0
59,100000.0
60,100000.0
61,100000.0
62,100000.0
63,100000.0
64,100000.0
65,100000.0
66,100000.0
67,100000.0
68,100000.0
69,100000.0
70,100000.0
71,100000.0
72,100000.0
73,100000.0
74,100000.0
75,100000.0
76,100000.0
77,100000.0
78,100000.0
79,100000.0
80,100000.0
81,100000.0
82,100000.0
83,100000.0
84,100000.0
85,100000.0
86,100000.0
87,100000.0
88,100000.0
89,100000.0
90,100000.0
91,100000.0
92,100000.0
93,100000.0
94,100000.0
95,100000.0
96,100000.0
97,100000.0
98,100000.0
99,100000.0
100,100000.0
101,100000.0
102,100000.0
103,100000.0
104,100000.0
105,100000.0
106,100000.0
107,100000.0
108,100000.0
109,100000.0
110,100000.0
111,100000.0
112,100000.0
113,100000.0
114,100000.0
115,100000.0
116,100000.0
117,100000.0
118,100000.0
119,100000.0
120,100000.0
121,100000.0
122,100000.0
123,100000.0
124,100000.0
125,100000.0
126,100000.0
127,100000.0
128,100000.0
129,100000.0
130,100000.0
131,100000.0
132,100000.0
133,100000.0
134,100000.0
135,100000.0
136,100000.0
137,100000.0
138,100000.0
139,100000.0
140,100000.0
141,100000.0
142,100000.0
143,100000.0
144,100000.0
145,100000.0
146,100000.0
147,100000.0
148,100000.0
149,100000.0
150,100000.0
151,100000.0
152,100000.0
153,100000.0
154,100000.0
155,100000.0
156,100000.0
157,100000.0
158,100000.0
159,100000.0
160,100000.0
161,100000.0
162,100000.0
163,100000.0
164,100000.0
165,100000.0
166,100000.0
167,100000.0
168,100000.0
169,100000.0
170,100000.0
171,100000.0
172,100000.0
173,100000.0
174,100000.0
175,100000.0
176,100000.0
177,100000.0
178,100000.0
179,100000.0
180,100000.0
181,100000.0
182,100000.0
183,100000.0
184,100000.0
185,100000.0
186,100000.0
187,100000.0
188,100000.0
189,100000.0
190,100000.0
191,100000.0
192,100000.0
193,100000.0
194,100000.0
195,100000.0
196,100000.0
197,100000.0
198,100000.0
199,100000.0
200,100000.0
201,100733.576
202,102564.048
203,102148.29599999999
204,102558.212
205,101712.85399999999
206,97764.198
207,97377.762
208,95126.86799999999
209,92758.98700000001
210,98168.483
211,96776.859
212,99433.512
213,100462.26399999998
214,101914.23500000002
215,103391.411
216,101520.529
217,99635.95400000001
218,97485.552
219,92144.612
220,97410.63999999997
221,98729.101
222,96949.08499999999
223,94035.597
224,87973.98999999999
225,87248.12199999999
226,86744.59499999999
227,89125.96
228,89920.9
229,87723.059
230,87750.84499999999
231,88610.62099999998
232,89428.087
233,91535.166
234,89977.006
235,90852.61799999999
236,91296.40999999997
237,93515.17099999999
238,95918.845
239,94397.061
240,95807.10399999999
241,95850.635
242,96299.317
243,99365.47399999999
244,99388.854
245,97292.53199999998
246,99495.481
247,104677.75299999998
248,105444.032
249,108415.28699999998
250,111340.26999999997
251,109007.22699999998
252,101059.87299999998
253,102711.214
254,91787.646
255,90043.30999999998
256,92933.271
257,93026.08399999999
258,95235.46499999998
259,93892.74599999998
260,89976.135
261,90657.69799999999
262,87404.49499999998
263,84245.09399999998
264,82203.41399999999
265,84838.37899999997
266,88471.70399999997
267,90927.488
268,90772.363
269,92218.74399999999
270,93036.77199999998
271,92714.20699999998
272,91210.01299999998
273,89703.761
274,88569.355
275,86998.056
276,89558.07899999998
277,89494.442
278,88843.93999999999
279,88066.56099999999
280,90314.90799999998
281,91272.02899999997
282,92079.62100000001
283,91464.85399999996
284,92470.113
285,92157.608
286,91105.07899999998
287,91379.30299999999
288,91459.21599999999
289,96050.33999999997
290,97258.93499999997
291,96739.73999999999
292,95003.48199999997
293,96785.87999999998
294,97098.70899999997
295,96685.83999999998
296,94219.74500000001
297,93018.87999999999
298,92452.41099999998
299,88844.40799999997
300,89758.66599999997
301,89137.30099999999
302,89337.805
303,87120.60900000003
304,88283.435
305,88329.87799999998
306,87471.37400000001
307,86687.79499999998
308,88285.54899999998
309,89557.86899999996
310,89586.88999999996
311,89403.39099999997
312,90629.85699999995
313,90281.24599999996
314,89111.27299999997
315,88195.44199999998
316,87760.65099999998
317,88103.26399999998
318,87379.54599999999
319,88189.72399999999
320,89037.438
321,89084.64799999999
322,89161.332
323,89799.342
324,90892.451
325,92443.882
326,93196.203
327,91446.309
328,91914.92499999999
329,93634.83499999998
330,95145.13899999997
331,96035.72399999999
332,97963.54499999998
333,96943.78699999997
334,97401.77099999998
335,96775.70699999997
336,95806.84599999999
337,96101.94399999999
338,99632.39099999996
339,101687.27599999997
340,103387.68499999997
341,103285.33299999997
342,101470.68199999996
343,102999.52599999998
344,102466.76999999996
345,102579.47399999996
346,103350.43899999997
347,103596.09199999996
348,101926.67299999995
349,101832.08599999997
350,102804.20399999997
351,106011.18299999998
352,104924.92799999996
353,102834.03299999998
354,103419.84899999997
355,105305.67999999996
356,107529.40199999996
357,107538.95199999996
358,108035.16199999997
359,106434.28999999998
360,107090.19599999998
361,107363.92599999998
362,106814.30899999996
363,106423.33299999998
364,106923.97499999999
365,102205.92199999996
366,101394.81999999998
367,100151.69199999997
368,100634.01899999997
369,100497.70199999996
370,102874.54999999999
371,100916.51699999998
372,101459.02199999995
373,102592.28499999996
374,102655.70199999998
375,106025.67799999999
376,108495.74199999998
377,107649.705
378,108175.72399999997
379,108754.10699999997
380,105932.02199999998
381,107253.01199999999
382,105911.40999999996
383,105503.20099999997
384,106309.29199999999
385,107796.22799999999
386,107949.85799999996
387,111514.82999999999
388,112626.66599999997
389,112511.82399999996
390,111536.53399999999
391,109395.57199999997
392,107120.85599999999
393,107479.46399999998
394,107117.41299999997
395,107631.59799999998
396,105156.18000000001
397,104490.21599999997
398,104991.97399999999
399,105773.49799999999
400,105400.15099999998
401,106002.45999999998
402,107214.78299999997
403,105076.32699999999
404,105293.54699999998
405,107130.446
406,107342.13199999998
407,108521.14199999998
408,109740.711
409,109400.28899999998
410,104141.15899999999
411,105835.16399999999
412,105445.44099999996
413,106552.563
414,104820.72299999998
415,106525.14599999998
416,106843.34399999997
417,107127.30799999999
418,109128.30999999998
419,108693.04799999998
420,110496.199
421,107867.61199999998
422,104991.53099999997
423,103758.76199999999
424,101357.19199999998
425,98717.45799999998
426,95153.56799999997
427,90945.70999999998
428,89160.96599999999
429,86831.13799999998
430,87102.75099999997
431,90281.40599999999
432,88686.70099999999
433,88297.10900000001
434,87418.29399999998
435,94133.67
436,93552.17199999999
437,95509.48400000001
438,103242.91599999998
439,105227.362
440,102740.029
441,104347.472
442,105834.38899999998
443,107584.23999999996
444,111149.50999999998
445,108459.10999999997
446,109935.66799999996
447,112312.65199999997
448,111118.29499999997
449,113430.14299999998
450,113369.37399999995
451,114830.61699999995
452,115523.21199999996
453,116674.728
454,117520.524
455,117397.04199999996
456,114256.50399999999
457,114168.10099999997
458,115537.16299999996
459,119585.23099999999
460,119612.62699999996
461,121146.93400000002
462,123853.30099999996
463,122151.00499999998
464,118946.264
465,120404.33499999998
466,122498.33899999999
467,123644.63899999997
468,122365.63899999995
469,116849.63599999997
470,111335.65099999998
471,115834.29999999997
472,115843.73599999999
473,111375.50299999997
474,111242.93699999996
475,112772.894
476,113427.65299999996
477,112072.045
478,115563.988
479,114583.95999999999
480,115472.48199999995
481,118599.018
482,122431.588
483,120578.47299999997
484,120624.35300000002
485,117366.60899999997
486,117871.47399999997
487,117607.999
488,118171.51899999999
489,120430.75699999997
490,122022.69699999999
491,122596.43199999997
492,120280.86999999997
493,117234.90399999997
494,116957.54399999998
495,117020.45899999999
496,117429.43299999999
497,119152.01799999998
498,120456.78399999997
499,119555.32799999998
500,118900.09299999998
501,120757.60399999998
502,118472.933
503,119077.29999999997
504,119330.52500000001
505,116240.41499999998
506,114877.78899999999
507,113719.893
508,113580.34999999998
509,116019.82999999999
510,115081.86899999999
511,116221.90599999997
512,117007.94499999999
513,115033.43099999997
514,113388.76599999996
515,117289.28199999996
516,117207.439
517,116665.058
518,115152.34399999997
519,117295.93699999999
520,120235.29799999997
521,120077.90199999997
522,118609.59899999994
523,116601.01599999997
524,122871.49799999999
525,123327.19199999998
526,123646.80999999997
527,127391.99499999998
528,126507.83
529,129207.546
530,128249.83799999999
531,128102.38199999998
532,126481.15899999999
533,131892.58299999998
534,136320.172
535,130883.18199999997
536,135180.16999999998
537,137436.467
538,139254.474
539,137130.114
540,135268.30299999999
541,137844.21399999998
542,136254.67399999997
543,140803.85799999998
544,142336.99599999998
545,144271.50499999998
546,144154.235
547,143323.835
548,144867.476
549,144253.338
550,142387.614
551,144787.39799999996
552,144251.25199999998
553,138883.077
554,137733.71899999998
555,137365.503
556,135848.06699999998
557,138556.76699999996
558,140226.69899999996
559,142779.15
560,142469.24599999996
561,139636.22399999996
562,140238.09599999993
563,136685.2989999999
564,140463.41199999998
565,143770.86499999996
566,145145.15500000006
567,146323.03699999998
568,143499.62700000004
569,143025.55099999995
570,144315.55399999992
571,150659.17400000003
572,150844.41399999996
573,151913.66899999994
574,152185.922
575,149783.74499999994
576,149929.45199999993
577,148333.123
578,148560.47
579,147133.10799999998
580,145527.03899999993
581,146683.156
582,146953.04599999997
583,148863.296
584,151961.53999999995
585,151465.37099999998
586,148767.013
587,147695.84699999998
588,146470.30799999996
589,144024.065
590,146467.10999999996
591,148429.47499999995
592,147601.88199999995
593,148652.695
594,148889.57499999995
595,147993.13799999998
596,146881.69499999998
597,143800.74199999997
598,144266.82899999997
599,145263.859
600,144297.561
601,142873.22899999996
602,141328.04499999998
603,141003.04299999998
604,139287.893
605,138384.28099999996
606,139474.81899999996
607,139535.012
608,144034.79299999998
609,141602.14399999997
610,148032.91199999998
611,148461.01999999996
612,146794.67199999996
613,150626.998
614,155097.68399999992
615,153748.796
616,153098.92899999995
617,154639.127
618,155778.935
619,152903.65799999997
620,148910.51799999995
621,149841.63999999993
622,150001.047
623,150819.71499999997
624,143234.333
625,139355.21799999996
626,136877.03699999995
627,140899.22699999996
628,139026.20099999994
629,137033.95799999996
630,133596.40499999994
631,132763.936
632,133937.35799999992
633,132415.23499999996
634,124647.54199999997
635,120843.19099999996
636,121410.38799999995
637,117467.28299999997
638,114647.36999999998
639,111947.55799999998
640,117709.80399999993
641,119583.27799999996
642,123451.48599999995
643,133444.849
644,131455.98299999995
645,126258.18099999994
646,126166.34599999998
647,119137.87899999996
648,117275.18099999997
649,120707.01999999996
650,122669.62999999998
651,125659.52399999998
652,126776.60699999996
653,123174.83499999996
654,123335.78199999995
655,126504.97099999995
656,129665.40599999997
657,129671.41299999996
658,136268.37399999998
659,135326.45899999997
660,137968.20099999997
661,141326.243
662,139890.47699999998
663,140532.457
664,139434.31699999998
665,137346.174
666,136791.19599999997
667,134394.95899999997
668,131541.37599999996
669,138255.655
670,138037.12099999998
671,139153.63799999998
672,142270.68099999995
673,143083.26499999996
674,141591.68499999997
675,138514.75399999996
676,139294.66299999994
677,140484.74099999998
678,137601.23699999996
679,134339.44799999995
680,128398.91
681,131232.81299999994
682,129600.91699999999
683,129357.07599999996
684,133266.95299999998
685,134858.86799999996
686,133561.83799999996
687,132288.542
688,132478.28
689,130598.44699999999
690,127444.43300000005
691,124238.55599999997
692,119981.68699999996
693,124257.19099999996
694,123844.29099999994
695,125264.696
696,133164.419
697,133077.45199999993
698,148602.85199999996
699,145553.82499999995
700,152103.49399999995
701,151246.088
702,151782.29499999993
703,148929.33399999994
704,149126.51499999993
705,151020.33899999995
706,150629.13499999995
707,145676.74199999994
708,147733.89199999996
709,148673.06599999996
710,149206.91
711,155316.54299999995
712,159920.01299999992
713,164295.80999999997
714,163494.68799999997
715,154218.21199999997
716,149468.95399999997
717,145748.911
718,150410.988
719,156137.43499999997
720,160131.91099999993
721,161695.268
722,163649.018
723,155435.93099999998
724,160322.99900000007
725,163743.43099999998
726,162961.63399999996
727,167291.66399999996
728,162946.39499999993
729,167675.06399999998
730,165237.885
731,164218.915
732,166395.66700000002
733,166437.85400000002
734,164746.64399999997
735,164683.68199999994
736,159622.55999999997
737,160543.72599999997
738,159063.66399999996
739,158050.88700000002
740,156199.65699999998
741,161956.424
742,157905.98799999995
743,155625.65799999994
744,153692.06699999998
745,152867.2649999999
746,147495.15099999998
747,143042.09899999996
748,148006.12199999992
749,149099.55599999998
750,151494.37499999997
751,148532.079
752,154668.50999999998
753,155545.10499999992
754,157948.00999999992
755,159860.99699999992
756,160767.95799999993
757,162849.69000000003
758,161562.18199999997
759,160051.89799999996
760,160979.18599999996
761,161465.41800000003
762,160954.33999999994
763,158505.62199999997
764,150508.18600000002
765,150151.46899999995
766,149832.60199999993
767,154098.574
768,151259.65800000002
769,148171.197
770,148193.318
771,145247.11299999995
772,145069.251
773,144106.02599999998
774,142401.66
775,142940.599
776,141187.16999999998
777,136209.29099999994
778,132772.27399999998
779,132695.18299999996
780,131663.619
781,131305.821
782,132901.03400000004
783,134489.355
784,134958.053
785,135674.55400000003
786,137426.233
787,136478.99699999997
788,137578.44700000007
789,136599.15700000004
790,137267.48500000004
791,137231.333
792,136549.04700000002
793,136091.446
794,137007.88
795,135840.43399999998
796,135039.994
797,132672.318
798,132591.88700000002
799,131764.65800000002
800,136682.9
801,137499.04400000002
802,142312.20299999995
803,142767.83800000005
804,141700.708
805,143086.45100000003
806,145151.2300000001
807,141856.48900000003
808,144449.82900000003
809,142990.52500000002
810,144164.123
811,142666.49099999998
812,140875.69100000002
813,143169.44400000002
814,146148.84700000007
815,145951.291
816,142587.17100000006
817,142970.58100000003
818,140474.98400000003
819,141840.40600000002
820,142915.274
821,142884.4
822,145649.10500000004
823,146488.48400000003
824,143860.565
825,147235.41700000004
826,145765.21900000004
827,147622.44000000003
828,149136.00699999998
829,144650.81900000002
830,143432.141
831,146129.09700000004
832,148084.098
833,152640.12600000002
834,153212.50600000005
835,157205.80800000008
836,160192.29400000005
837,160109.07000000004
838,157383.21200000003
839,155569.37600000005
840,157921.05600000004
841,165974.38500000004
842,169184.04300000003
843,169985.43500000006
844,171869.04500000004
845,171398.99000000008
846,167650.42500000005
847,168101.47000000003
848,169423.78000000003
849,174245.73500000002
850,175761.73000000004
851,183832.66000000006
852,186428.69000000003
853,194299.76
854,190274.8050000001
855,192675.0680000001
856,191304.27000000002
857,198029.89599999998
858,201439.77599999998
859,195282.46600000001
860,188754.66600000006
861,193808.12100000004
862,203046.19100000002
863,204192.14600000007
864,200036.1930000001
865,204067.94799999997
866,205584.25300000008
867,206602.44300000003
868,203466.39800000004
869,201852.05800000008
870,193025.33800000008
871,191126.12400000004
872,192012.95400000003
873,195994.65900000007
874,199054.89400000003
875,200420.51400000002
876,204060.55400000006
877,215039.2440000001
878,215194.35400000002
879,222806.64400000006
880,227226.99400000006
881,229240.674
882,223708.90400000007
883,223394.51400000002
884,225943.154
885,227294.05400000003
886,222652.20400000006
887,205574.9940000001
888,206510.704
889,203352.124
890,209144.45900000003
891,214779.13400000002
892,206876.00900000008
893,213243.36900000004
894,219547.673
895,207062.7230000001
896,209158.03900000002
897,204452.03900000002
898,198312.16900000005
899,193530.29300000003
900,190893.50500000003
901,187053.96200000003
902,189530.39700000003
903,190566.58200000005
904,193187.80800000005
905,197993.80700000003
906,205372.60200000007
907,200637.09300000005
908,198754.46700000003
909,205102.64700000003
910,206024.54000000004
911,207410.27100000007
912,208326.56800000006
913,206398.24100000007
914,201612.34300000005
915,201135.28900000005
916,205921.21000000005
917,207112.8280000001
918,211025.49500000008
919,215149.39900000003
920,224017.17200000005
921,228473.15900000004
922,225873.97200000007
923,227372.21800000005
924,222043.53600000002
925,216715.19100000005
926,218650.2380000001
927,220300.87300000005
928,218636.81200000003
929,223142.4300000001
930,222316.6380000001
931,221286.96800000005
932,220920.58600000007
933,217578.5700000001
934,221581.76800000007
935,212943.00200000004
936,208176.55600000004
937,205812.59000000003
938,204661.47500000003
939,206839.4780000001
940,209170.37600000005
941,218483.9920000001
942,222759.78000000006
943,228888.73500000002
944,228586.47700000004
945,228235.146
946,238109.623
947,240064.81400000004
948,241747.00000000003
949,244705.91800000003
950,239072.27200000003
951,243408.466
952,239545.32500000007
953,234940.9770000001
954,240021.44200000004
955,233702.58200000005
956,230443.99799999996
957,232309.703
958,240638.84200000003
959,248620.71200000003
960,256354.762
961,251620.65600000005
962,250937.10200000007
963,259544.02400000003
964,260563.7360000001
965,253649.8280000001
966,255763.01400000005
967,258081.99899999998
968,253143.60800000007
969,246361.5280000001
970,256768.583
971,250385.77500000005
972,246516.46400000007
973,238294.98400000005
974,238363.15100000004
975,240598.80600000007
976,238038.47600000002
977,241465.29400000005
978,253504.40000000005
979,255000.05800000008
980,256915.98000000007
981,262983.72200000007
982,270043.6610000001
983,270527.2750000001
984,262993.329
985,255168.9670000001
986,249758.75800000003
987,250146.19200000004
988,244715.17100000003
989,239626.96200000003
990,250202.12000000002
991,249656.06800000003
992,245060.83499999996
993,242465.35
994,242710.72
995,249751.74000000002
996,248442.74600000007
997,247042.53900000002
998,249124.89900000006
999,249682.07900000009
1000,251473.62600000008
1001,254834.28600000005
1002,254164.94000000006
1003,250098.09500000006
1004,254651.78900000008
1005,265630.79500000004
1006,272834.498
1007,280592.9870000001
1008,283775.59
1009,290602.6670000001
1010,300538.917
1011,298029.563
1012,304241.69800000003
1013,299110.55400000006
1014,307995.861
1015,312491.3120000001
1016,307379.51599999995
1017,308069.4440000001
1018,312727.41400000005
1019,320809.73600000003
1020,315985.92200000014
1021,299833.45200000005
1022,292796.075
1023,306376.3169999999
1024,303885.9600000001
1025,301057.9730000001
1026,291078.2130000001
1027,296874.31200000003
1028,305446.95
1029,306960.635
1030,303406.6260000001
1031,309023.68500000006
1032,311262.70900000003
1033,298969.46099999995
1034,303881.79400000005
1035,300726.55199999997
1036,290815.87000000005
1037,293616.157
1038,288237.978
1039,277858.113
1040,285208.522
1041,287769.275
1042,289390.266
1043,292440.2060000001
1044,290208.46400000004
1045,286804.8400000001
1046,293089.6540000001
1047,294607.2070000001
1048,288463.2680000001
1049,285967.14300000004
1050,281499.0910000001
1051,276402.7180000001
1052,283025.58400000003
1053,274285.4190000001
1054,268844.83400000015
1055,279069.0150000001
1056,277490.0960000001
1057,276874.37100000004
1058,264828.8450000001
1059,258489.2370000001
1060,257674.13300000015
1061,271635.21300000016
1062,271863.24900000007
1063,288541.64000000013
1064,293424.9630000001
1065,293351.08200000005
1066,300188.5560000001
1067,302942.7310000001
1068,301670.18700000003
1069,297765.04199999996
1070,295778.38500000007
1071,309070.1520000002
1072,309667.1210000001
1073,300668.0180000001
1074,298784.7530000001
1075,297134.6340000001
1076,276700.53500000003
1077,276419.9540000001
1078,266872.32100000005
1079,273450.8540000001
1080,282840.26300000004
1081,280210.8140000001
1082,280558.2060000001
1083,275627.3990000001
1084,269104.98000000016
1085,260969.88600000012
1086,253677.9710000001
1087,259158.29500000004
1088,262836.20800000004
1089,264873.42800000013
1090,268290.3430000001
1091,280975.70600000006
1092,274013.48500000004
1093,279338.739
1094,280448.12000000005
1095,276711.61500000005
1096,278079.61000000004
1097,280190.2530000001
1098,284061.393
1099,285293.96900000004
1100,285625.39400000015
1101,296299.77300000004
1102,308369.3180000001
1103,312193.4700000001
1104,312623.8820000001
1105,324131.03400000004
1106,321211.14900000015
1107,322077.4550000001
1108,325885.5060000001
1109,314765.3500000001
1110,309106.7650000001
1111,323109.81600000005
1112,319456.297
1113,314779.5650000001
1114,315060.5260000001
1115,316435.552
1116,319346.09300000005
1117,319477.44800000003
1118,324120.778
1119,327783.90400000004
1120,311964.022
1121,312617.8490000001
1122,321178.973
1123,322399.88000000006
1124,337490.3570000001
1125,338420.1900000002
1126,337329.8100000001
1127,339772.1210000001
1128,333113.73800000007
1129,328454.52800000005
1130,315422.216
1131,317010.32600000006
1132,301910.2789999999
1133,298117.23600000003
1134,290617.2880000001
1135,284816.47500000003
1136,280634.2310000001
1137,280146.951
1138,289600.9400000001
1139,277914.96300000005
1140,291261.1630000001
1141,282639.0840000001
1142,280564.992
1143,275825.48000000004
1144,276151.0850000001
1145,282811.0200000001
1146,276892.87400000007
1147,288026.5210000001
1148,292373.9520000001
1149,290771.1830000001
1150,285630.833
1151,285919.2520000001
1152,288632.9500000001
1153,282641.243
1154,285439.5180000001
1155,288990.04899999994
1156,286949.0520000001
1157,283908.7390000001
1158,278029.4010000001
1159,269030.714
1160,272754.9640000001
1161,286302.4990000001
1162,286925.7420000001
1163,295981.33800000005
1164,302393.33100000006
1165,303247.2270000001
1166,306284.119
1167,304374.4410000001
1168,302862.21700000006
1169,301781.9410000001
1170,306064.8260000001
1171,320528.27
1172,325941.7100000001
1173,323955.18100000004
1174,327302.7540000001
1175,325228.2600000001
1176,324699.1060000001
1177,335901.6520000001
1178,324889.0940000001
1179,326631.4460000001
1180,319819.8400000001
1181,320819.2110000001
1182,315985.7120000001
1183,319712.1740000001
1184,314952.657
1185,313849.91700000013
1186,315168.43500000006
1187,321103.0490000001
1188,319513.4590000001
1189,321604.58300000004
1190,322842.15600000013
1191,321017.91000000003
1192,329164.642
1193,333171.76900000003
1194,331462.3460000002
1195,336146.02300000004
1196,332286.42000000004
1197,325802.0220000001
1198,325925.67100000015
1199,325445.4720000002
1200,320614.8660000001
1201,320297.006
1202,326570.1350000001
1203,328990.0130000001
1204,330078.3970000001
1205,333510.8590000002
1206,337301.0620000001
1207,333077.6870000001
1208,337057.26000000007
1209,337425.32500000007
1210,344158.03400000016
1211,347735.2360000001
1212,350821.20700000005
1213,346727.66400000016
1214,355482.35699999996
1215,366660.68400000007
1216,362681.2160000001
1217,360349.89300000016
1218,365722.6190000002
1219,366598.07600000006
1220,378841.22900000017
1221,392179.0360000001
1222,401283.66900000005
1223,400189.32100000005
1224,394760.54000000004
1225,388644.7250000001
1226,396912.58500000014
1227,403220.50100000016
1228,408983.75500000006
1229,419477.89700000006
1230,423485.97400000016
1231,423389.97000000015
1232,428815.562
1233,425986.3400000001
1234,435778.0460000002
1235,431854.9430000001
1236,434600.6210000001
1237,438997.81200000015
1238,423439.532
1239,423673.17000000016
1240,421405.59300000017
1241,423932.37600000016
1242,434349.42800000013
1243,434381.7780000002
1244,436776.5440000001
1245,434622.9310000001
1246,438407.93800000014
1247,432886.64800000004
1248,444801.1510000001
1249,445916.2660000002
1250,448369.55000000005
1251,449741.59300000005
1252,459468.8810000001
1253,463111.26100000006
1254,461610.4800000001
1255,464259.7390000002
1256,458880.9560000001
1257,440902.6750000001
1258,434290.45599999995
1259,440206.481
1260,435682.435
1261,438787.356
1262,428727.36900000006
1263,425667.88800000004
1264,433682.10000000003
1265,440927.4660000001
1266,452611.1810000001
1267,445254.8730000001
1268,434502.27700000006
1269,436666.5640000001
1270,422333.51100000006
1271,427914.24800000014
1272,430795.6140000001
1273,440038.413
1274,446996.168
1275,455154.01500000013
1276,460770.38900000014
1277,463456.91800000006
1278,472271.6860000001
1279,480736.0730000001
1280,484438.492
1281,451632.3240000001
1282,444444.716
1283,447473.86900000006
1284,455046.62300000014
1285,474408.04800000007
1286,478190.801
1287,479778.369
1288,467883.0170000001
1289,462609.3860000001
1290,448864.2780000001
1291,456983.05899999995
1292,478575.29700000014
1293,486700.70000000007
1294,483567.36600000004
1295,492814.3700000001
1296,497449.0940000001
1297,491694.84
1298,498578.93100000004
1299,493194.47100000014
1300,482433.97000000015
1301,463643.78400000004
1302,463213.3810000001
1303,474273.1240000001
1304,470457.17200000014
1305,468690.8310000001
1306,467608.16500000015
1307,470612.2300000001
